,tamanho,ano,garagem,predicted
107,73.0,1948,1,107735.664
108,141.0,1919,0,122053.1
109,171.0,1977,2,198110.8
110,172.0,1954,1,161982.2
111,133.0,2000,2,181348.9
112,250.0,2007,3,385144.34
113,210.0,1953,2,211682.7
114,216.0,1945,1,231191.44
115,135.0,1999,2,181348.9
116,101.0,1962,1,137569.72
117,105.0,2006,2,162314.89
118,299.0,1990,3,320422.9
119,135.0,2005,2,191461.95
120,92.0,1969,2,141923.02
121,104.0,1939,1,121679.09
122,100.0,1958,1,135557.4
123,111.0,1993,2,164305.34
124,147.0,1979,2,176886.66
125,70.0,1935,0,85136.88
126,89.0,1976,2,144335.11
127,78.0,1930,0,89604.234
128,125.0,1966,2,154641.89
129,98.0,1958,2,149903.42
130,200.0,1966,2,222611.33
131,191.0,2000,2,226126.44
132,123.0,1959,2,155344.83
133,120.0,2001,2,187571.1
134,160.0,1968,2,173511.78
135,156.0,1970,2,175574.03
136,113.0,1967,1,142944.98
137,182.0,1988,3,176420.78
138,172.0,1999,3,248901.45
139,164.0,1997,2,213668.3
140,80.0,1971,0,102320.49
141,161.0,2005,2,253895.16
142,129.0,1952,2,151068.06
143,139.0,1999,2,194390.16
144,161.0,1963,2,165114.23
145,159.0,2004,2,200438.83
146,81.0,1931,1,111295.76
147,189.0,2001,2,225109.4
148,100.0,2004,0,137634.39
149,125.0,1936,1,121450.53
150,90.0,1975,2,137339.77
151,159.0,2007,3,305550.44
152,185.0,1971,2,200899.23
153,116.0,1960,2,159402.67
154,111.0,1923,1,114291.41
155,102.0,1924,0,89927.57
156,97.0,1950,2,117803.63
157,183.0,2009,3,296831.38
158,181.0,2004,2,216633.81
159,229.0,2005,2,287658.06
160,114.0,1984,2,164297.92
161,248.0,2003,3,393618.44
162,143.0,2005,2,206408.28
163,82.0,1956,0,103224.84
164,150.0,1926,1,152595.78
165,126.0,1940,0,119016.07
166,173.0,1955,1,171203.9
167,201.0,2007,3,342404.5
168,160.0,2004,2,205899.02
169,159.0,1981,2,204070.61
170,128.0,1941,2,142273.0
171,154.0,1960,2,174495.39
172,164.0,1987,2,207710.95
173,127.0,1961,2,154641.89
174,153.0,1986,2,199098.5
175,200.0,1950,2,184933.89
176,191.0,1988,2,223499.6
177,178.0,1958,2,197268.58
178,208.0,2008,3,468852.7
179,90.0,1923,2,129582.99
180,142.0,2000,2,213034.11
181,167.0,1920,1,158804.89
182,124.0,1957,1,137363.31
183,193.0,2003,2,218053.64
184,116.0,1908,2,125441.516
185,335.0,1892,3,446426.62
186,113.0,1990,2,171336.75
187,154.0,1916,1,148244.1
188,114.0,1979,2,153431.84
189,148.0,2001,2,219869.58
190,253.0,1932,2,301734.25
191,137.0,1972,2,170263.61
192,133.0,1999,2,181348.9
193,159.0,2004,2,200438.83
194,80.0,1972,1,113863.53
195,135.0,1976,2,166154.02
196,160.0,2007,3,305550.44
197,289.0,1918,2,219671.77
198,207.0,1912,0,132421.0
199,159.0,2004,3,294972.94
200,104.0,2003,2,154343.2
201,119.0,1977,2,162951.19
202,122.0,1924,1,116339.445
203,79.0,2004,2,143759.67
204,119.0,1947,1,119450.97
205,134.0,1990,2,176646.55
206,158.0,1962,1,153408.92
207,102.0,1960,1,139604.19
208,192.0,1988,2,223499.6
209,101.0,1964,2,149268.06
210,80.0,1925,0,89604.234
211,113.0,2009,2,188813.72
212,172.0,2009,2,244081.23
213,92.0,1995,2,146438.84
214,129.0,1977,1,148338.53
215,115.0,1957,1,137349.25
216,133.0,2004,2,185711.62
217,123.0,1925,1,116339.445
218,182.0,1939,2,159178.42
219,116.0,2005,2,178745.78
220,139.0,2006,2,200196.81
221,211.0,2002,2,254044.5
222,144.0,1975,2,173054.55
223,80.0,1971,2,123614.984
224,222.0,2003,3,330765.3
225,121.0,1971,1,125315.805
226,234.0,1995,3,288313.78
227,92.0,1970,1,109990.875
228,85.0,1967,1,123637.11
229,144.0,2005,2,206408.28
230,111.0,1959,1,142944.98
231,260.0,1995,3,397919.7
232,92.0,1972,1,109990.875
233,83.0,1976,1,128887.49
234,182.0,2002,2,222008.4
235,92.0,1971,1,109990.875
236,131.0,2004,2,180816.47
237,162.0,1993,2,213668.3
238,157.0,2007,3,276579.38
239,138.0,1945,1,139659.38
240,145.0,2008,2,247426.12
241,80.0,1945,0,99348.266
242,134.0,1900,1,116573.46
243,113.0,1980,1,140451.11
244,196.0,1994,2,265141.66
245,174.0,1988,2,208927.81
246,179.0,1910,1,135806.22
247,128.0,1954,2,153474.19
248,155.0,2003,2,200438.83
249,199.0,1958,2,232411.34
250,121.0,1940,0,99565.48
251,151.0,2006,2,236058.7
252,152.0,2004,2,193451.94
253,121.0,1964,1,140959.48
254,122.0,1957,1,135363.75
255,213.0,1999,2,255725.67
256,161.0,2003,2,205899.02
257,149.0,2006,2,244435.31
258,166.0,2001,2,216440.5
259,82.0,1956,1,120646.53
260,128.0,1962,2,154641.89
261,239.0,2007,3,371214.1
262,113.0,1977,2,154600.6
263,122.0,1929,2,132920.72
264,71.0,1925,2,89940.75
265,132.0,1981,2,179790.08
266,140.0,1997,2,194400.95
267,204.0,1939,1,209651.78
268,72.0,1940,1,108554.65
269,103.0,1976,1,138059.23
270,180.0,2006,3,293107.8
271,127.0,1954,2,145011.56
272,211.0,1999,3,292270.72
273,152.0,1958,1,151934.64
274,76.0,1982,1,126237.34
275,144.0,1925,2,181940.98
276,145.0,2003,2,206538.11
277,80.0,1951,2,106309.94
278,197.0,2006,3,345146.47
279,188.0,1977,2,198379.75
280,184.0,1989,2,222079.77
281,117.0,2006,2,187506.03
282,122.0,2007,2,206012.75
283,136.0,2008,3,238142.44
284,146.0,1992,2,203108.2
285,116.0,2006,2,183384.31
286,161.0,1962,2,165114.23
287,80.0,1971,0,102320.49
288,84.0,1967,1,123637.11
289,130.0,1915,1,129228.56
290,178.0,2006,2,244081.23
291,159.0,1912,0,116245.29
292,159.0,1949,1,144022.67
293,210.0,1977,2,207867.3
294,153.0,1953,2,183769.56
295,93.0,1984,2,148108.62
296,145.0,1950,1,148587.25
297,181.0,1997,2,228037.11
298,162.0,1968,2,179132.77
299,107.0,1950,1,126847.67
300,124.0,1953,1,131707.48
301,228.0,1998,2,259056.17
302,143.0,2001,3,201064.89
303,83.0,1972,2,125657.52
304,325.0,1880,3,293228.06
305,186.0,2004,3,305040.97
306,208.0,1990,3,251180.12
307,131.0,1920,0,110614.03
308,80.0,1940,2,96010.42
309,181.0,2003,3,262384.56
310,139.0,1993,2,193825.3
311,90.0,1948,1,117655.38
312,104.0,1939,2,130443.58
313,189.0,1965,2,256818.34
314,152.0,1925,2,181940.98
315,133.0,2004,2,185711.62
316,219.0,1980,2,225301.2
317,182.0,2006,3,269969.12
318,246.0,1993,3,259209.28
319,137.0,1980,2,168870.2
320,241.0,2006,3,338612.06
321,229.0,2004,3,322446.56
322,254.0,1986,2,297893.75
323,108.0,1955,1,137349.25
324,277.0,1967,2,296555.47
325,75.0,1941,2,94328.79
326,160.0,1993,2,213668.3
327,128.0,1960,1,144792.52
328,198.0,1916,2,175678.72
329,111.0,1920,1,114291.41
330,161.0,1964,1,145743.81
331,98.0,1958,1,135557.4
332,151.0,2003,3,248023.2
333,126.0,2004,2,188694.48
334,152.0,1998,2,202531.84
335,166.0,1965,2,201751.88
336,179.0,2005,3,302713.5
337,143.0,2002,2,210688.86
338,151.0,1984,2,201729.58
339,113.0,1958,1,137349.25
340,177.0,2002,2,215976.19
341,78.0,1950,1,107735.664
342,97.0,1949,2,117803.63
343,156.0,2005,2,248434.97
344,103.0,1976,1,138059.23
345,147.0,1939,1,152595.78
346,89.0,1960,1,123637.11
347,137.0,1960,2,168823.2
348,151.0,2003,2,193451.94
349,253.0,2005,3,422936.7
350,174.0,2007,2,244081.23
351,135.0,1986,2,179689.72
352,103.0,1941,1,121679.09
353,67.0,1928,2,89940.75
354,148.0,1940,1,152595.78
355,111.0,1995,2,164305.34
356,108.0,1992,2,171879.44
357,106.0,1976,2,152712.78
358,126.0,1958,1,145440.53
359,179.0,1998,2,228037.11
360,85.0,1978,2,144335.11
361,140.0,1940,1,153220.61
362,179.0,2003,2,216633.81
363,92.0,1972,1,109990.875
364,146.0,1976,2,173054.55
365,125.0,1920,1,117229.086
366,130.0,1963,2,158269.23
367,133.0,1962,1,145816.06
368,118.0,1954,1,131693.42
369,120.0,1959,2,157417.17
370,155.0,2000,2,208208.11
371,148.0,1959,2,174495.39
372,70.0,1984,1,126237.34
373,123.0,1953,1,129707.92
374,179.0,2003,2,216633.81
375,84.0,1922,0,85136.62
376,85.0,1996,2,147414.94
377,229.0,2004,2,284743.22
378,172.0,2010,3,370959.03
379,167.0,2000,2,214885.16
380,157.0,1924,1,155696.31
381,121.0,2006,2,183179.7
382,167.0,2006,2,244081.23
383,73.0,1928,2,89940.75
384,181.0,1992,2,222079.77
385,118.0,2004,2,185144.56
386,110.0,1910,0,92295.44
387,105.0,1976,1,131520.94
388,137.0,1999,2,181348.9
389,217.0,2007,3,371214.1
390,127.0,1900,1,113479.56
391,182.0,2001,2,223689.58
392,82.0,1959,1,122658.836
393,73.0,1941,0,95050.336
394,96.0,1940,1,115820.445
395,106.0,1956,1,137591.88
396,83.0,1972,2,125657.52
397,168.0,1962,1,166675.5
398,100.0,1920,1,114291.41
399,144.0,2006,2,216595.9
400,120.0,1996,2,199405.3
401,122.0,2005,2,181231.95
402,62.0,1940,1,101576.65
403,210.0,1998,2,259056.17
404,146.0,1995,2,207245.7
405,151.0,1976,2,173054.55
406,152.0,1936,1,152595.78
407,156.0,1915,1,144814.86
408,202.0,2006,3,301824.7
409,193.0,2007,3,363994.7
410,119.0,1958,1,135363.75
411,98.0,1955,2,141324.6
412,137.0,2009,2,225383.53
413,96.0,1927,2,118332.9
414,195.0,1993,3,228695.69
415,124.0,2007,2,235741.3
416,130.0,1978,2,154159.64
417,244.0,1918,3,242948.31
418,105.0,1940,1,121679.09
419,98.0,1968,1,137569.72
420,125.0,1997,4,231953.64
421,149.0,1977,2,176886.66
422,92.0,1954,2,127103.984
423,244.0,1998,3,336114.94
424,111.0,1956,1,137349.25
425,129.0,1946,1,131259.77
426,153.0,1989,2,199098.5
427,84.0,1957,1,120646.53
428,112.0,2007,2,188813.72
429,131.0,1988,2,174682.92
430,92.0,1971,1,109990.875
431,111.0,1920,0,89577.9
432,127.0,1971,2,154641.89
433,149.0,1997,2,207245.7
434,59.0,1972,0,92856.984
435,154.0,1996,2,208208.11
436,104.0,1920,2,124887.51
437,84.0,1926,1,111295.76
438,64.0,1913,1,95938.195
439,111.0,1920,2,124887.51
440,223.0,2008,3,468852.7
441,134.0,1955,0,124470.945
442,146.0,1930,2,181940.98
443,117.0,2006,3,183987.33
444,177.0,1994,2,214885.16
445,157.0,1956,2,172433.14
446,175.0,1966,2,192313.84
447,175.0,1998,2,214885.16
448,128.0,1937,1,121450.53
449,110.0,1948,1,126605.06
450,76.0,1930,1,107372.02
451,142.0,1975,2,187056.84
452,163.0,1996,2,213668.3
453,148.0,2008,2,244435.31
454,161.0,1976,2,170992.3
455,115.0,1973,2,151084.8
456,125.0,1916,3,119237.25
457,154.0,1954,2,184154.53
458,155.0,1925,1,157758.56
459,112.0,1950,1,126605.06
460,180.0,2009,2,245783.98
461,105.0,1936,2,130443.58
462,80.0,1965,1,123637.11
463,154.0,1934,1,157758.56
464,97.0,1978,0,128961.22
465,131.0,2004,2,180816.47
466,119.0,1970,2,156482.44
467,153.0,1942,1,154222.03
468,152.0,2006,3,248023.2
469,159.0,1993,2,208208.11
470,140.0,1985,2,196066.2
471,183.0,1977,2,192355.8
472,100.0,2005,2,150446.73
473,184.0,2006,3,348637.06
474,153.0,2000,2,219230.25
475,90.0,1963,2,134942.73
476,139.0,1997,2,196717.5
477,246.0,2006,3,333796.78
478,160.0,2007,3,305550.44
479,105.0,1937,2,130443.58
480,172.0,2004,3,293095.97
481,166.0,2003,3,270257.03
482,170.0,1915,1,141243.62
483,113.0,1998,2,169891.8
484,93.0,1962,1,128151.12
485,103.0,1950,1,126847.67
486,100.0,1965,2,149268.06
487,138.0,1971,2,171235.98
488,224.0,1900,2,158679.27
489,59.0,1970,1,99539.78
490,121.0,1976,1,142192.34
491,147.0,1941,1,152595.78
492,135.0,2006,2,198361.36
493,118.0,1960,1,142944.98
494,82.0,1938,1,112478.38
495,67.0,1920,0,67931.19
496,300.0,1992,2,353776.53
497,169.0,1925,1,165245.34
498,84.0,1967,1,123637.11
499,85.0,1958,1,120646.53
500,113.0,1973,1,125315.805
501,164.0,2005,2,240916.72
502,113.0,1965,2,151302.53
503,167.0,1959,2,205585.02
504,123.0,1974,2,156612.05
505,182.0,1952,2,149791.12
506,178.0,1993,2,226334.36
507,113.0,2009,2,188813.72
508,128.0,1928,2,142273.0
509,97.0,1959,1,133072.9
510,127.0,1951,1,139784.7
511,127.0,2005,2,186932.48
512,80.0,1958,2,125697.28
513,100.0,1983,2,152493.84
514,73.0,1926,1,102904.67
515,188.0,2009,3,368148.7
516,197.0,1972,2,210054.11
517,218.0,1996,3,274173.47
518,167.0,1998,2,214885.16
519,193.0,1926,1,209651.78
520,120.0,1900,0,107743.18
521,116.0,1957,1,137349.25
522,155.0,1947,2,158924.48
523,434.0,2007,3,183845.73
524,223.0,1996,3,297918.12
525,118.0,2005,2,185144.56
526,86.0,1956,1,120646.53
527,252.0,2008,3,497618.53
528,56.0,1920,0,70754.555
529,234.0,1957,2,204565.58
530,140.0,1988,2,187371.25
531,127.0,1920,2,126373.125
532,77.0,1955,1,120646.53
533,31.0,1946,0,69901.375
534,131.0,2004,2,180816.47
535,125.0,1910,0,111748.63
536,160.0,1998,2,213668.3
537,80.0,1972,2,123614.984
538,108.0,1968,1,142944.98
539,149.0,2001,2,219869.58
540,171.0,2006,3,302632.1
541,212.0,2000,3,274297.62
542,156.0,1998,2,208208.11
543,71.0,1998,1,125134.52
544,139.0,2006,2,200196.81
545,203.0,1988,3,238119.08
546,152.0,1923,2,181940.98
547,71.0,1970,2,130952.23
548,77.0,1955,2,117376.984
549,195.0,2003,2,240784.23
550,99.0,1977,2,152712.78
551,86.0,1957,1,120646.53
552,160.0,2006,3,294891.53
553,105.0,1949,2,128963.83
554,190.0,2003,3,305040.97
555,97.0,1922,1,111914.56
556,101.0,1957,1,135557.4
557,124.0,1920,1,117229.086
558,134.0,1996,2,183676.25
559,145.0,2003,2,206538.11
560,129.0,1957,2,157344.39
561,129.0,1974,2,157663.9
562,93.0,1940,0,98009.43
563,156.0,1918,2,177904.97
564,213.0,1992,2,263686.44
565,153.0,1915,1,141278.33
566,233.0,2005,3,318012.72
567,143.0,2004,2,206538.11
568,198.0,1983,2,269222.03
569,88.0,1979,2,144335.11
570,161.0,1965,2,173511.78
571,80.0,1959,1,122658.836
572,157.0,2009,2,255842.81
573,133.0,2000,2,181348.9
574,103.0,1971,1,120200.71
575,113.0,1947,1,121436.47
576,137.0,1928,1,138048.94
577,123.0,1966,2,152642.33
578,129.0,2007,2,224695.78
579,167.0,1954,1,161982.2
580,133.0,1960,2,168823.2
581,190.0,2008,3,368148.7
582,76.0,1990,0,125282.21
583,258.0,1893,2,231742.66
584,146.0,1935,1,152595.78
585,188.0,2005,3,300607.1
586,78.0,1918,1,106122.14
587,80.0,1982,2,135336.19
588,137.0,1968,1,148118.53
589,87.0,1930,1,117291.75
590,147.0,2004,2,201828.55
591,213.0,2008,3,468852.7
592,76.0,1982,2,135336.19
593,79.0,2003,2,143759.67
594,86.0,1975,1,118656.82
595,170.0,2005,3,302713.5
596,127.0,1910,1,113479.56
597,130.0,2006,3,252413.73
598,153.0,1977,2,176886.66
599,145.0,1980,2,179602.84
600,177.0,2005,2,242133.58
601,128.0,1937,1,121450.53
602,178.0,1992,2,220377.02
603,111.0,2004,2,161057.67
604,139.0,2002,2,199514.48
605,185.0,1965,2,210692.47
606,97.0,1996,2,150253.72
607,187.0,1948,1,166830.19
608,297.0,1934,2,331746.1
609,96.0,1961,1,132467.08
610,200.0,2000,3,286594.0
611,96.0,1978,2,150366.73
612,174.0,2001,2,217657.36
613,104.0,2007,0,142442.84
614,59.0,1972,0,92856.984
615,98.0,1963,2,147200.92
616,140.0,2002,2,195170.39
617,77.0,1954,2,111733.72
618,170.0,2007,3,342181.34
619,210.0,2003,3,305904.56
620,80.0,1914,0,76481.22
621,243.0,1974,2,198014.97
622,91.0,1977,2,147041.89
623,140.0,2000,2,190046.06
624,166.0,1972,2,186877.72
625,104.0,1962,2,149235.39
626,132.0,1960,1,159980.95
627,141.0,1955,1,151934.64
628,193.0,1969,2,212573.6
629,125.0,1964,2,154641.89
630,163.0,1880,1,131010.42
631,144.0,2006,2,216595.9
632,131.0,1977,2,154159.64
633,98.0,1954,1,131936.05
634,98.0,1980,2,152712.78
635,315.0,1914,0,198120.78
636,74.0,1936,0,95050.336
637,129.0,1954,1,133540.95
638,74.0,1910,0,83811.88
639,146.0,2006,3,231896.5
640,141.0,2003,2,221788.14
641,179.0,2001,2,223689.58
642,251.0,1972,2,300287.3
643,151.0,1969,2,175574.03
644,164.0,2009,3,343698.47
645,91.0,1971,2,138383.27
646,97.0,1950,2,117803.63
647,102.0,1953,2,137198.94
648,171.0,1966,2,200630.28
649,59.0,1970,0,92856.984
650,155.0,2007,2,255842.81
651,140.0,1940,1,153220.61
652,159.0,1996,2,208208.11
653,136.0,1906,1,124009.69
654,196.0,1995,3,286594.0
655,101.0,1971,1,114626.48
656,98.0,1959,1,137569.72
657,140.0,1931,1,153220.61
658,135.0,1948,1,130937.17
659,138.0,1964,2,169795.58
660,180.0,1976,2,192355.8
661,227.0,1994,3,283494.53
662,129.0,1968,2,154641.89
663,110.0,1972,2,151084.8
664,195.0,2005,3,298188.56
665,180.0,2000,2,224706.61
666,221.0,1965,2,181336.58
667,156.0,1994,2,208208.11
668,134.0,1956,2,168823.2
669,110.0,1922,1,114291.41
670,137.0,2005,2,191461.95
671,127.0,1925,1,117229.086
672,112.0,1977,2,154600.6
673,171.0,1957,2,205585.02
674,106.0,1965,1,139604.19
675,134.0,1978,2,166154.02
676,165.0,1900,3,116026.336
677,74.0,1924,1,99464.484
678,190.0,2008,3,368148.7
679,92.0,1961,2,139855.88
680,86.0,1980,1,125832.42
681,141.0,1932,1,152595.78
682,120.0,1996,2,199405.3
683,155.0,2002,3,255752.02
684,171.0,1998,2,214885.16
685,194.0,1984,2,223499.6
686,164.0,2007,2,242864.38
687,102.0,2004,2,154343.2
688,132.0,2007,2,304332.06
689,127.0,2005,2,186932.48
690,79.0,2004,2,143759.67
691,401.0,1994,3,578702.4
692,234.0,1989,2,278065.84
693,100.0,1921,1,114291.41
694,143.0,1936,2,162933.02
695,106.0,1987,2,170149.69
696,57.0,1921,1,87702.64
697,107.0,1952,1,131936.05
698,83.0,1965,1,123637.11
699,129.0,2004,2,186932.48
700,167.0,2002,3,270605.1
701,108.0,1969,2,151302.53
702,239.0,2006,3,338612.06
703,168.0,1900,2,140650.77
704,138.0,2004,2,189419.69
705,101.0,1930,0,89927.57
706,169.0,1971,2,200630.28
707,123.0,2006,2,187258.33
708,135.0,2007,2,211189.8
709,84.0,1966,1,123637.11
710,68.0,1935,0,73656.27
711,109.0,1900,1,111508.83
712,114.0,1988,2,170168.0
713,89.0,1970,2,133470.11
714,137.0,1976,2,166154.02
715,125.0,1974,2,157663.9
716,237.0,1890,2,158679.27
717,109.0,1973,2,151084.8
718,225.0,1993,3,265320.4
719,90.0,1969,1,123637.11
720,162.0,1985,2,204070.61
721,79.0,2004,2,143759.67
722,80.0,1970,2,123614.984
723,137.0,1954,1,138373.39
724,158.0,2007,3,305550.44
725,80.0,1970,2,123614.984
726,156.0,1988,2,204070.61
727,114.0,2007,2,180177.3
728,165.0,1958,3,121032.96
729,112.0,1925,2,124887.51
730,150.0,1995,2,207245.7
731,106.0,2003,2,168366.64
732,189.0,1998,2,229456.94
733,106.0,1961,1,139604.19
734,88.0,1968,1,123637.11
735,164.0,1914,2,156701.2
736,97.0,1950,2,117803.63
737,167.0,2005,3,252890.88
738,111.0,1987,0,165356.39
739,161.0,2004,2,205899.02
740,133.0,1910,2,135461.98
741,85.0,1961,1,123637.11
742,125.0,2000,2,177528.88
743,136.0,1963,2,168823.2
744,124.0,1993,2,176444.92
745,252.0,1976,2,293081.0
746,210.0,2000,2,255725.67
747,245.0,1880,4,253276.86
748,160.0,1996,2,213668.3
749,142.0,1945,1,152595.78
750,106.0,1910,0,92295.44
751,123.0,2003,2,181231.95
752,139.0,1997,2,196717.5
753,195.0,2005,3,298188.56
754,95.0,1969,2,147198.05
755,137.0,1999,2,181348.9
756,164.0,2007,2,242864.38
757,129.0,1978,2,157663.9
758,139.0,1999,2,194390.16
759,235.0,1995,3,288313.78
760,80.0,1959,1,122658.836
761,121.0,1924,2,123435.44
762,144.0,2009,2,216595.9
763,220.0,1999,3,300936.4
764,139.0,1995,2,193825.3
765,140.0,2008,2,215005.77
766,159.0,1988,2,204070.61
767,163.0,1940,1,168986.89
768,171.0,2004,2,207115.88
769,305.0,2003,3,497569.7
770,80.0,1982,2,135336.19
771,113.0,1951,2,137198.94
772,104.0,1976,2,152712.78
773,85.0,1958,1,120646.53
774,183.0,2006,3,274287.4
775,112.0,1998,2,169891.8
776,150.0,2005,3,231896.5
777,83.0,1974,2,129527.18
778,188.0,1977,2,198379.75
779,93.0,1977,2,149913.67
780,116.0,1995,2,173525.94
781,149.0,1992,2,203108.2
782,133.0,2001,2,193211.17
783,103.0,1978,2,152712.78
784,138.0,1914,0,131829.3
785,125.0,1967,2,154641.89
786,153.0,1915,1,141278.33
787,194.0,2004,2,218053.64
788,84.0,1954,1,118406.98
789,194.0,1966,2,212573.6
790,106.0,2005,2,160919.31
791,99.0,1976,2,152712.78
792,187.0,1996,2,239123.05
793,139.0,2007,2,204425.22
794,176.0,1994,2,214885.16
795,145.0,1980,2,179602.84
796,119.0,1977,2,162951.19
797,72.0,1953,1,114306.01
798,292.0,2008,3,514802.84
799,164.0,1937,1,163038.97
800,157.0,1997,2,208208.11
801,111.0,1916,2,117841.62
802,135.0,2005,2,191461.95
803,262.0,2008,3,514802.84
804,105.0,1954,1,131936.05
805,133.0,2008,2,211189.8
806,91.0,1967,1,123637.11
807,146.0,1923,2,181940.98
808,101.0,1966,2,149268.06
809,199.0,1898,2,137431.56
810,122.0,1974,2,156612.05
811,79.0,2004,2,143759.67
812,97.0,1952,2,126038.74
813,134.0,1958,1,140220.34
814,116.0,1918,1,116481.71
815,154.0,1998,2,208208.11
816,94.0,1954,1,127236.945
817,157.0,2002,3,276660.8
818,98.0,1971,2,145510.58
819,126.0,2009,2,239657.94
820,152.0,2003,2,193451.94
821,87.0,1953,2,121031.914
822,161.0,2003,2,205899.02
823,138.0,1940,1,139659.38
824,138.0,2006,2,216263.16
825,194.0,2007,3,363994.7
826,73.0,1924,0,85136.88
827,133.0,2001,2,193211.17
828,198.0,1967,2,222611.33
829,114.0,2005,2,175387.86
830,129.0,1957,2,157344.39
831,111.0,2005,2,161057.67
832,170.0,2003,2,207115.88
833,141.0,1964,2,178645.23
834,106.0,1961,2,149235.39
835,99.0,1950,2,128963.83
836,145.0,1948,2,158924.48
837,92.0,1973,1,109990.875
838,102.0,1995,1,136707.28
839,111.0,1946,1,121436.47
840,138.0,1925,1,137666.92
841,143.0,1904,2,163557.81
842,108.0,1966,2,151302.53
843,167.0,1961,0,151467.61
844,132.0,1915,3,144430.62
845,158.0,1975,2,170992.3
846,165.0,1993,2,213668.3
847,80.0,1972,1,113863.53
848,219.0,1908,2,189095.52
849,172.0,1976,2,198110.8
850,79.0,2003,2,143759.67
851,135.0,2003,2,185711.62
852,153.0,1941,1,154222.03
853,134.0,1964,2,168823.2
854,165.0,1955,2,172433.14
855,97.0,1962,1,134051.17
856,95.0,1978,2,150366.73
857,138.0,1994,2,184492.11
858,127.0,1976,2,157663.9
859,247.0,1968,2,300287.3
860,132.0,1918,1,156174.2
861,97.0,1965,2,147198.05
862,102.0,1984,2,158462.66
863,107.0,1959,1,139604.19
864,127.0,2007,2,235741.3
865,93.0,1970,2,146044.02
866,153.0,2006,3,248023.2
867,104.0,1961,2,149235.39
868,216.0,1948,2,184933.89
869,181.0,1993,2,228037.11
870,83.0,1962,1,123637.11
871,156.0,1998,2,208208.11
